Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
3,-36,-41,-41,TRUE
3,-37,-39,-40,TRUE
3,-37,-43,-40,TRUE
3,-38,-41,-43,TRUE
3,-39,-46,-41,TRUE
3,-40,-43,-41,TRUE
3,-39,-42,-40,TRUE
4,-39,-41,-45,TRUE
4,-41,-41,-42,TRUE
4,-40,-41,-43,TRUE
4,-40,-40,-45,TRUE
4,-41,-41,-45,TRUE
4,-51,-41,-42,TRUE
4,-50,-40,-44,TRUE
4,-49,-39,-44,TRUE
4,-50,-40,-41,TRUE
4,-45,-39,-42,TRUE
4,-50,-39,-43,TRUE
4,-51,-38,-42,TRUE
4,-52,-38,-42,TRUE
4,-49,-39,-42,TRUE
4,-46,-39,-42,TRUE
4,-47,-37,-42,TRUE
4,-49,-39,-40,TRUE
4,-52,-38,-42,TRUE
4,-48,-37,-43,TRUE
4,-49,-38,-42,TRUE
4,-49,-37,-42,TRUE
4,-49,-36,-44,TRUE
4,-49,-36,-43,TRUE
4,-47,-37,-43,TRUE
4,-48,-36,-44,TRUE
4,-48,-37,-44,TRUE
4,-48,-37,-44,TRUE
4,-49,-37,-43,TRUE
4,-46,-36,-44,TRUE
4,-48,-38,-44,TRUE
4,-49,-38,-44,TRUE
4,-46,-37,-42,TRUE
4,-47,-38,-42,TRUE
4,-47,-37,-42,TRUE
4,-46,-37,-43,TRUE
4,-46,-38,-42,TRUE
4,-45,-38,-41,TRUE
4,-46,-38,-42,TRUE
4,-45,-37,-42,TRUE
4,-45,-37,-41,TRUE
4,-45,-37,-41,TRUE
4,-46,-37,-41,TRUE
4,-45,-38,-42,TRUE
4,-45,-37,-42,TRUE
4,-45,-38,-42,TRUE
4,-47,-35,-42,TRUE
5,-45,-36,-43,TRUE
5,-46,-36,-46,TRUE
5,-43,-35,-45,TRUE
5,-39,-38,-45,TRUE
5,-38,-39,-43,TRUE
5,-39,-37,-43,TRUE
5,-38,-37,-44,TRUE
5,-42,-36,-46,TRUE
5,-42,-35,-42,TRUE
5,-45,-32,-43,TRUE
5,-47,-35,-43,TRUE
5,-49,-33,-43,TRUE
5,-50,-35,-43,TRUE
5,-50,-34,-43,TRUE
5,-52,-32,-44,TRUE
5,-47,-35,-45,TRUE
5,-51,-32,-44,TRUE
5,-52,-31,-44,TRUE
5,-52,-34,-44,TRUE
5,-56,-34,-44,TRUE
5,-51,-35,-42,TRUE
5,-49,-36,-41,TRUE
5,-50,-36,-40,TRUE
5,-48,-35,-44,TRUE
5,-58,-31,-42,TRUE
5,-62,-34,-42,TRUE
5,-59,-34,-42,TRUE
5,-58,-34,-42,TRUE
5,-51,-32,-41,TRUE
5,-51,-32,-42,TRUE
5,-57,-32,-43,TRUE
5,-57,-32,-42,TRUE
5,-56,-32,-43,TRUE
5,-59,-32,-43,TRUE
5,-59,-34,-42,TRUE
5,-54,-32,-42,TRUE
5,-57,-32,-42,TRUE
5,-50,-34,-42,TRUE
5,-48,-32,-43,TRUE
5,-42,-32,-41,TRUE
5,-42,-35,-41,TRUE
5,-43,-32,-44,TRUE
