Tile No,Receiver 1,Receiver 2,Receiver 3,Human Presence
19,-37,-32,-43,TRUE
19,-37,-32,-43,TRUE
19,-37,-32,-43,TRUE
19,-37,-35,-43,TRUE
19,-37,-32,-43,TRUE
19,-37,-35,-43,TRUE
19,-37,-32,-44,TRUE
19,-37,-35,-43,TRUE
19,-37,-35,-43,TRUE
19,-37,-35,-44,TRUE
19,-37,-35,-44,TRUE
19,-37,-32,-44,TRUE
19,-36,-36,-44,TRUE
19,-36,-35,-44,TRUE
19,-36,-35,-44,TRUE
20,-36,-32,-44,TRUE
20,-36,-31,-44,TRUE
20,-36,-35,-44,TRUE
20,-37,-31,-46,TRUE
20,-36,-34,-43,TRUE
20,-36,-32,-44,TRUE
20,-37,-34,-45,TRUE
20,-36,-32,-45,TRUE
20,-37,-31,-45,TRUE
20,-36,-31,-45,TRUE
20,-35,-31,-46,TRUE
20,-36,-32,-48,TRUE
20,-35,-32,-46,TRUE
20,-36,-35,-46,TRUE
20,-35,-35,-46,TRUE
20,-35,-33,-47,TRUE
20,-36,-35,-49,TRUE
20,-36,-36,-46,TRUE
20,-31,-32,-46,TRUE
20,-32,-38,-49,TRUE
20,-35,-37,-46,TRUE
20,-35,-35,-46,TRUE
20,-36,-35,-46,TRUE
20,-35,-36,-46,TRUE
20,-36,-36,-45,TRUE
20,-36,-35,-47,TRUE
20,-36,-36,-47,TRUE
20,-36,-36,-46,TRUE
20,-35,-35,-45,TRUE
20,-35,-35,-46,TRUE
20,-35,-35,-45,TRUE
20,-36,-35,-47,TRUE
20,-36,-35,-46,TRUE
20,-36,-35,-46,TRUE
20,-35,-36,-46,TRUE
20,-36,-35,-45,TRUE
20,-35,-32,-45,TRUE
20,-36,-32,-48,TRUE
20,-36,-35,-45,TRUE
20,-37,-35,-46,TRUE
20,-36,-35,-46,TRUE
20,-36,-35,-47,TRUE
20,-36,-35,-49,TRUE
20,-36,-35,-49,TRUE
20,-37,-35,-49,TRUE
20,-36,-36,-49,TRUE
21,-42,-35,-49,FALSE
21,-42,-40,-52,FALSE
21,-42,-39,-52,FALSE
21,-41,-39,-56,FALSE
21,-42,-39,-54,FALSE
21,-42,-38,-53,FALSE
21,-42,-39,-54,FALSE
21,-42,-39,-55,FALSE
21,-42,-39,-54,FALSE
21,-43,-38,-55,FALSE
21,-43,-39,-54,FALSE
21,-43,-39,-54,FALSE
21,-43,-39,-55,FALSE
21,-43,-38,-56,FALSE
21,-45,-38,-54,FALSE
21,-42,-40,-45,FALSE
21,-41,-38,-45,FALSE
21,-40,-41,-46,FALSE
21,-41,-41,-45,FALSE
21,-39,-39,-45,FALSE
21,-40,-41,-45,FALSE
21,-41,-39,-45,FALSE
21,-41,-38,-44,FALSE
21,-40,-38,-44,FALSE
21,-39,-37,-44,FALSE
21,-40,-38,-44,FALSE
21,-37,-38,-44,FALSE
21,-40,-37,-45,FALSE
21,-40,-37,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-46,FALSE
21,-40,-37,-46,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-37,-46,FALSE
21,-40,-38,-46,FALSE
21,-40,-37,-44,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-37,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-45,FALSE
21,-40,-38,-44,FALSE
21,-40,-39,-44,FALSE
21,-40,-38,-45,FALSE
