Tile No,Receiver 1,Receiver 2,Receiver 3,Human Status
2,-42,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-42,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-42,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-36,-42,1
2,-43,-36,-41,1
2,-43,-35,-41,1
2,-43,-36,-42,1
2,-44,-36,-42,1
2,-43,-35,-42,1
2,-44,-36,-42,1
2,-43,-36,-41,1
1,-42,-35,-28,1
1,-42,-35,-29,1
1,-41,-35,-29,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-42,-35,-28,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-42,-36,-29,1
1,-42,-35,-29,1
1,-42,-36,-28,1
1,-42,-36,-28,1
1,-42,-35,-29,1
1,-42,-35,-28,1
1,-42,-35,-28,1
1,-42,-36,-29,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-43,-35,-29,1
1,-43,-35,-29,1
1,-42,-35,-28,1
1,-42,-35,-29,1
1,-42,-35,-28,1
1,-42,-35,-29,1
1,-43,-35,-29,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-42,-35,-29,1
1,-43,-35,-29,1
1,-43,-35,-29,1
1,-43,-35,-29,1
1,-43,-35,-29,1
2,-43,-35,-28,1
2,-43,-35,-29,1
2,-43,-35,-28,1
2,-43,-35,-29,1
2,-43,-34,-28,1
2,-43,-34,-29,1
2,-44,-35,-29,1
2,-43,-35,-29,1
2,-43,-35,-29,1
2,-43,-34,-29,1
2,-44,-35,-29,1
2,-43,-34,-29,1
2,-43,-35,-29,1
2,-43,-34,-28,1
2,-43,-34,-28,1
2,-43,-34,-28,1
2,-43,-34,-28,1
2,-43,-34,-29,1
2,-43,-35,-28,1
2,-44,-34,-29,1
2,-43,-35,-29,1
2,-43,-35,-29,1
2,-44,-35,-28,1
2,-44,-34,-29,1
2,-44,-35,-28,1
2,-44,-34,-28,1
2,-43,-34,-28,1
2,-43,-35,-29,1
2,-44,-35,-28,1
2,-43,-34,-29,1
2,-44,-34,-29,1
2,-44,-34,-29,1
2,-44,-34,-28,1
2,-44,-35,-29,1
2,-44,-34,-28,1
2,-44,-34,-28,1
2,-44,-34,-29,1
2,-43,-35,-28,1
2,-44,-34,-29,1
2,-44,-34,-28,1
2,-44,-35,-29,1
2,-44,-34,-28,1
2,-44,-34,-28,1
2,-44,-34,-28,1
2,-43,-34,-28,1
2,-44,-34,-28,1
3,-44,-32,-29,1
3,-43,-35,-28,1
3,-44,-35,-29,1
3,-44,-35,-29,1
3,-44,-35,-28,1
3,-43,-35,-28,1
1,-37,-45,-33,2
1,-41,-54,-29,2
1,-39,-53,-32,2
